title,url,poster_url,release_date,rating,runtime,certificate,director,overview,language,cast,tmdb_id
Practical Magic 2,https://cinejoy.to/movie/1302904-practical-magic-2-2026,https://image.tmdb.org/t/p/w780/nUcauJ000dFBYkgGpxyxJ5aWEH2.jpg,"Sep 9, 2026",6.2,2h 10m,PG-13,Susanne Bier,The Owens sisters must confront the dark curse that threatens to unravel their family once and for all.,EN,Sandra Bullock | Sally Owens | Nicole Kidman | Gillian Owens | Joey King | Kylie Owens | Maisie Williams | Antonia Owens | Xolo Maridueña | Gideon | Lee Pace | Ian Wright | Dianne Wiest | Aunt Jet | Stockard Channing | Aunt Frances | Solly McLeod | Thomas Lockland,1302904
Drawn Together,https://cinejoy.to/movie/1440098-drawn-together-2026,https://image.tmdb.org/t/p/w780/oZkk6B15Ak4uTa2aVrJaDmSk3Xl.jpg,"Sep 9, 2026",6.599,104,,Óscar Pedraza,"Marfil Cortés, a daughter of a wealthy Spanish businessman, is kidnapped and released, leading her father to hire Sebastian Moore as a bodyguard. Despite initial clashes, they form an irremediable attraction, navigating a world where no one is who they say they are.",ES,Ester Expósito | Marfil Cortés | Hugo Diego Garcia | Sebastian Moore | Eric Masip | Iván | Pablo Molinero | Alejandro | Zoe Bonafonte | Gabriela | Lluís Homar | Logan | Joaquín Ferreira | Ray,1440098
Runner,https://cinejoy.to/movie/1377237-runner-2026,https://image.tmdb.org/t/p/w780/2c9zNZJL0ZdagD6JbmU3hH4hovs.jpg,"Sep 10, 2026",9.2,1h 37m,PG-13,Scott Waugh,A former soldier and his unlikely partner become the targets of a ruthless cartel while racing to complete a critical medical delivery and save the life of a little girl.,EN,Alan Ritchson | Hank Malone | Owen Wilson | Ben | Rodrigo Santoro | Damian | Leila George | Kate | Adriana Barraza | Donna | Peta Sergeant | Julie | Scarlett Crabtree | Ellie Baker | Geraldine Hakewill | Monica | Goran D. Kleut | Luke | A | Adam Fraser,1377237
Resident Evil,https://cinejoy.to/movie/1423191-resident-evil-2026,https://image.tmdb.org/t/p/w780/qe7ip5bsuGGdrEfkKuXpZoJ0beK.jpg,"Sep 16, 2026",9.2,1h 30m,R,Zach Cregger,"Medical courier Bryan unwittingly finds himself fighting for survival as one fateful, horrifying night collapses around him in chaos.",EN,Austin Abrams | Bryan | Zach Cherry | Dave | Kali Reis | Pauline | Paul Walter Hauser | Carl | Johnno Wilson | Max,1423191
Forgotten Island,https://cinejoy.to/movie/1465063-forgotten-island-2026,https://image.tmdb.org/t/p/w780/A6noTWmgHFuF0hzhVZXQxWMRi7s.jpg,"Sep 16, 2026",8.75,1h 49m,PG,Januel Mercado,"While celebrating their last night together, high school graduates and best friends Jo and Raissa stumble upon a mysterious portal that transports them to the fantastical island of Nakali. When they discover that the memories of their entire friendship are the price for returning home, Jo and Raissa must race to find a way to leave the island before they forget each other forever.",EN,H.E.R. | Jo (voice) | Liza Soberano | Raissa (voice) | Dave Franco | Raww (voice) | Lea Salonga | Manang (voice) | Manny Jacinto | Bungi (voice) | Jenny Slate | Batiba (voice) | Dolly de Leon | Lola Fatima (voice) | Jo Koy | Datu (voice) | Ronny Chieng | King Truffle Wuffle (voice) | Amielynn Abellera | (voice),1465063
The Weight,https://cinejoy.to/movie/1433583-the-weight-2026,https://image.tmdb.org/t/p/w780/doKGNHnbawL8bsIAfkZH6AA2To3.jpg,"Sep 16, 2026",7.5,1h 55m,R,Padraic McKinley,"When Samuel is torn from his daughter and sent to a brutal prison, Warden Clancy offers him a high-stakes proposition: smuggle gold out of a remote mine with a dangerous crew of prisoners and he’ll win his freedom.",EN,Ethan Hawke | Samuel Murphy | Russell Crowe | Warden Clancy | Julia Jones | Anna | Austin Amelio | Rankin | Avi Nash | Singh | Lucas Lynggaard Tønnesen | Olson | Sam Hazeldine | Amis | George Burgess | Letender | Jeff Hallman | Big | Alec Newman | Taggert,1433583
Heart of the Beast,https://cinejoy.to/movie/1263337-heart-of-the-beast-2026,https://image.tmdb.org/t/p/w780/bzi1j7GgxQMOwii5yDI2bsZ1PY6.jpg,"Sep 19, 2026",0.0,1h 41m,PG-13,David Ayer,"After a harrowing plane crash, Special Forces officer James Belmont and his combat dog, Odin, find themselves stranded deep in the Alaskan wilderness. Together, they are forced into a brutal fight for survival against the elements.",EN,Brad Pitt | James Belmont | J.K. Simmons | Anna Lambe,1263337
The Love Hypothesis,https://cinejoy.to/movie/1032863-the-love-hypothesis-2026,https://image.tmdb.org/t/p/w780/b17uij6YoqTsWLO3V9NMQmGzTeA.jpg,"Sep 23, 2026",0.0,0,R,Claire Scanlon,"Olive Smith, a biology PhD candidate, and Dr. Adam Carlsen, a hotshot professor and well-known tyrant, enter into a fake relationship, seeing each of their carefully calculated theories on love get thrown into chaos.",EN,Lili Reinhart | Olive Smith | Tom Bateman | Dr. Adam Carlsen | Rachel Marsh | Anh | Nicholas Duvernay | Jeremy | Jaboukie Young-White | Malcolm | Arty Froushan | Tom,1032863
Possible Love,https://cinejoy.to/movie/1483525-possible-love-2026,https://image.tmdb.org/t/p/w780/kPbyLj2OyjojqvR1jfK1VvXzabg.jpg,"Sep 23, 2026",0.0,2h 45m,R,Lee Chang-dong,A laid-off worker and his wife cross paths with a documentary filmmaker and her spouse and confront their hidden desires.,KO,Jeon Do-yeon | Mi-ok | Sul Kyung-gu | Ho-seok | Zo In-sung | Sang-woo | Cho Yeo-jeong | Ye-ji | Jo Yuri,1483525
Primetime,https://cinejoy.to/movie/1375441-primetime-2026,https://image.tmdb.org/t/p/w780/8Ba87JJp099Ml6M2TBazNMjguS.jpg,"Sep 23, 2026",0.0,1h 50m,R,Lance Oppenheim,"In 2006, To Catch a Predator host Chris Hansen sets out to make television history.",EN,Robert Pattinson | Chris Hansen | Merritt Wever | Andie Bender | Skyler Gisondo | Dan Plumb | Phoebe Bridgers | Del Harvey | Matthew Maher | Xavier Von Erck | Bokeem Woodbine | Cortland Gunn | Anna Faris | Mary Joan Hansen | Eric Rahill | Creed Bratton | Jonathan Lipnicki | Actor | Alex Winter | Bill Conradt,1375441
