title,url,release_date,status_or_rating,poster_url
Practical Magic 2,https://cinejoy.to/movie/1302904-practical-magic-2-2026,Sep 9,Coming Soon,https://image.tmdb.org/t/p/w780/nUcauJ000dFBYkgGpxyxJ5aWEH2.jpg
Drawn Together,https://cinejoy.to/movie/1440098-drawn-together-2026,Sep 9,Coming Soon,https://image.tmdb.org/t/p/w780/oZkk6B15Ak4uTa2aVrJaDmSk3Xl.jpg
Runner,https://cinejoy.to/movie/1377237-runner-2026,Sep 10,Coming Soon,https://image.tmdb.org/t/p/w780/2c9zNZJL0ZdagD6JbmU3hH4hovs.jpg
Resident Evil,https://cinejoy.to/movie/1423191-resident-evil-2026,Sep 16,Coming Soon,https://image.tmdb.org/t/p/w780/qe7ip5bsuGGdrEfkKuXpZoJ0beK.jpg
Forgotten Island,https://cinejoy.to/movie/1465063-forgotten-island-2026,Sep 16,Coming Soon,https://image.tmdb.org/t/p/w780/A6noTWmgHFuF0hzhVZXQxWMRi7s.jpg
The Weight,https://cinejoy.to/movie/1433583-the-weight-2026,Sep 16,Coming Soon,https://image.tmdb.org/t/p/w780/doKGNHnbawL8bsIAfkZH6AA2To3.jpg
Heart of the Beast,https://cinejoy.to/movie/1263337-heart-of-the-beast-2026,Sep 19,Coming Soon,https://image.tmdb.org/t/p/w780/bzi1j7GgxQMOwii5yDI2bsZ1PY6.jpg
The Love Hypothesis,https://cinejoy.to/movie/1032863-the-love-hypothesis-2026,Sep 23,Coming Soon,https://image.tmdb.org/t/p/w780/b17uij6YoqTsWLO3V9NMQmGzTeA.jpg
Possible Love,https://cinejoy.to/movie/1483525-possible-love-2026,Sep 23,Coming Soon,https://image.tmdb.org/t/p/w780/kPbyLj2OyjojqvR1jfK1VvXzabg.jpg
Primetime,https://cinejoy.to/movie/1375441-primetime-2026,Sep 23,Coming Soon,https://image.tmdb.org/t/p/w780/8Ba87JJp099Ml6M2TBazNMjguS.jpg
Death Whisperer: Saming the Werebeast,https://cinejoy.to/movie/1556321-death-whisperer-saming-the-werebeast-2026,Sep 30,Coming Soon,https://image.tmdb.org/t/p/w780/ssg1qGCCRQEkwBNWHItDppBRQE2.jpg
Other Mommy,https://cinejoy.to/movie/1400837-other-mommy-2026,Oct 7,Coming Soon,https://image.tmdb.org/t/p/w780/yf5EKtrTKM8pla1TpNA5TsZgoTp.jpg
Bokshi,https://cinejoy.to/movie/718833-bokshi-2026,Oct 9,Coming Soon,https://image.tmdb.org/t/p/w780/8XPPKEgO7sJs0rP53h3kUPT1tTW.jpg
Street Fighter,https://cinejoy.to/movie/1153576-street-fighter-2026,Oct 14,Coming Soon,https://image.tmdb.org/t/p/w780/5YfPIIMzGBkIjHt3PTXBWyfBTGS.jpg
The Mongoose,https://cinejoy.to/movie/1294189-the-mongoose-2026,Oct 30,Coming Soon,https://image.tmdb.org/t/p/w780/9f0SZYEElYbjj9syw5aZREnfeDt.jpg
Wild Horse Nine,https://cinejoy.to/movie/891621-wild-horse-nine-2026,Nov 4,Coming Soon,https://image.tmdb.org/t/p/w780/3uLA0ujne91bkzFStZICCYeqhnt.jpg
Dune: Part Three,https://cinejoy.to/movie/1170608-dune-part-three-2026,Dec 15,Coming Soon,https://image.tmdb.org/t/p/w780/dXOqWj2kjJQkHNbfoS8iYzbuwO3.jpg
Avengers: Doomsday,https://cinejoy.to/movie/1003596-avengers-doomsday-2026,Dec 16,Coming Soon,https://image.tmdb.org/t/p/w780/uttJRcb0wwlrH71w7PQNr8AktD2.jpg
Ice Age: Boiling Point,https://cinejoy.to/movie/1384758-ice-age-boiling-point-2027,"Feb 3, 2027",Coming Soon,https://image.tmdb.org/t/p/w780/1Ky8ZGo6AQTNahyDg24grfhEUPu.jpg
Avengers: Secret Wars,https://cinejoy.to/movie/1003598-avengers-secret-wars-2027,"Dec 15, 2027",Coming Soon,https://image.tmdb.org/t/p/w780/rytc6Lf4447C0CDncwFa4gxe0vY.jpg
Spider-Man: Brand New Day,https://cinejoy.to/movie/969681-spider-man-brand-new-day-2026,2026,7.9,https://image.tmdb.org/t/p/w500/bjiS5ipwxb9JFy3XRRN4OAilSeX.jpg
The Odyssey,https://cinejoy.to/movie/1368337-the-odyssey-2026,2026,8.0,https://image.tmdb.org/t/p/w500/5rhTDKUhPYvpdQIijFIs5VoWsON.jpg
Mutiny,https://cinejoy.to/movie/1288445-mutiny-2026,2026,6.4,https://image.tmdb.org/t/p/w500/pu2VxGlpGwffOx292w18b1tv96j.jpg
Coyote vs. Acme,https://cinejoy.to/movie/1204680-coyote-vs-acme-2026,2026,7.6,https://image.tmdb.org/t/p/w500/orkLtdgMGiO9rTVMqJ1kKwrnup1.jpg
Shape of My Heart,https://cinejoy.to/movie/1285366-shape-of-my-heart-2024,2024,5.2,https://image.tmdb.org/t/p/w500/3r0O6BW9USoZ9mteCVyNKMQriRL.jpg
The Runner,https://cinejoy.to/movie/1386315-the-runner-2026,2026,6.4,https://image.tmdb.org/t/p/w500/uxCaBoYXsDC4A0SqTm3SISj0OwK.jpg
Colony,https://cinejoy.to/movie/1375646-colony-2026,2026,8.1,https://image.tmdb.org/t/p/w500/tN799oUR0f1gUKDYdMNrDaY7I51.jpg
The Last Sunrise,https://cinejoy.to/movie/1516698-the-last-sunrise-2026,2026,6.6,https://image.tmdb.org/t/p/w500/3PWJqDfygN0YNNjWsDUOXclCp3h.jpg
Obsession,https://cinejoy.to/movie/1339713-obsession-2026,2026,8.2,https://image.tmdb.org/t/p/w500/bRwnj8WEKBCvmfeUNOukJPwB43K.jpg
Toxic: A Fairy Tale for Grown-ups,https://cinejoy.to/movie/1213243-toxic-a-fairy-tale-for-grown-ups-2026,2026,7.9,https://image.tmdb.org/t/p/w500/oiIPU4lvnI0Ag2K9cyAi44eCaoE.jpg
Facing El Chapo,https://cinejoy.to/movie/1621552-facing-el-chapo-2026,2026,8.8,https://image.tmdb.org/t/p/w500/z8eF0ACFFKtIZ4pUeo02PCzxRVO.jpg
The Whisper Man,https://cinejoy.to/movie/860508-the-whisper-man-2026,2026,6.8,https://image.tmdb.org/t/p/w500/6UqflU8Qqkz7Dq4swJPqs0ZJjY4.jpg
Ghost in the Cell,https://cinejoy.to/movie/1393326-ghost-in-the-cell-2026,2026,7.0,https://image.tmdb.org/t/p/w500/zxcMdx0w5Zmg8yZuuiS7CJ8vOea.jpg
Toy Story 5,https://cinejoy.to/movie/1084244-toy-story-5-2026,2026,8.3,https://image.tmdb.org/t/p/w500/9VWplgfRcYkUao9QGQXUP3rWQK7.jpg
Rage of Stars,https://cinejoy.to/movie/1323244-rage-of-stars-2026,2026,6.1,https://image.tmdb.org/t/p/w500/oLld47ZT1I3iecM3OWhIphohQUJ.jpg
Above & Below,https://cinejoy.to/movie/1514682-above-below-2026,2026,6.3,https://image.tmdb.org/t/p/w500/7bOuu1SRALGwsG2fLCTvRkCmQBj.jpg
Minions & Monsters,https://cinejoy.to/movie/1315772-minions-monsters-2026,2026,7.6,https://image.tmdb.org/t/p/w500/4LwvU9SZc8QQzW1X1FAPhNbXnEU.jpg
Pinocchio: Unstrung,https://cinejoy.to/movie/1232569-pinocchio-unstrung-2026,2026,6.7,https://image.tmdb.org/t/p/w500/eUJXk3bTvLBi5Zcb0BCedZU7lVL.jpg
Moana,https://cinejoy.to/movie/1108427-moana-2026,2026,6.2,https://image.tmdb.org/t/p/w500/zKVgiv5qHCvCLT4A2ymJi5QeXDH.jpg
Batman: Knightfall Part 1: Knightfall,https://cinejoy.to/movie/1560520-batman-knightfall-part-1-knightfall-2026,2026,9.1,https://image.tmdb.org/t/p/w500/360qdtu2hLnqMu8SVHMywn420w1.jpg
